seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
8,16.0,0.5,0.0,Adaptive tag,1.7304083828665444e-05,1.7304083828665444e-05,0
9,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
9,16.0,0.5,0.0,Risk partition,0.00046097399180493803,0.00046097399180493803,0
9,16.0,0.5,0.0,TRAPS learned,0.0005204121230790418,0.0005204121230790418,0
9,16.0,0.5,0.0,TRAPS+ReplayCache,0.0002602060615395209,0.0005204121230790418,0
9,16.0,0.5,0.0,Oracle AMQ,0.0003773367582621764,0.0003773367582621764,0
9,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
9,16.0,0.5,0.0,Adaptive tag,1.7313981872239406e-05,1.7313981872239406e-05,0
0,16.0,0.5,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
0,16.0,0.5,0.01,Risk partition,0.0004897870416109677,0.0004897870416109677,0
0,16.0,0.5,0.01,TRAPS learned,0.0005669423730871328,0.0005669423730871328,0
0,16.0,0.5,0.01,TRAPS+ReplayCache,0.0002834711865435664,0.0005669423730871328,0
0,16.0,0.5,0.01,Oracle AMQ,0.000385836542738592,0.000385836542738592,0
0,16.0,0.5,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
0,16.0,0.5,0.01,Adaptive tag,1.8862031714707232e-05,1.8862031714707232e-05,0
1,16.0,0.5,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
1,16.0,0.5,0.01,Risk partition,0.0005132276452610794,0.0005132276452610794,0
1,16.0,0.5,0.01,TRAPS learned,0.0006100095807740403,0.0006100095807740403,0
1,16.0,0.5,0.01,TRAPS+ReplayCache,0.00030500479038702015,0.0006100095807740403,0
1,16.0,0.5,0.01,Oracle AMQ,0.00037508070135866653,0.00037508070135866653,0
1,16.0,0.5,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
1,16.0,0.5,0.01,Adaptive tag,2.0294867000648147e-05,2.0294867000648147e-05,0
2,16.0,0.5,0.01,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
2,16.0,0.5,0.01,Risk partition,0.0004760400926255171,0.0004760400926255171,0
2,16.0,0.5,0.01,TRAPS learned,0.0005614269636977145,0.0005614269636977145,0
2,16.0,0.5,0.01,TRAPS+ReplayCache,0.00028071348184885724,0.0005614269636977145,0
2,16.0,0.5,0.01,Oracle AMQ,0.00036073157183640265,0.00036073157183640265,0
2,16.0,0.5,0.01,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
2,16.0,0.5,0.01,Adaptive tag,1.8678535416386276e-05,1.8678535416386276e-05,0
